dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleMoveTime,appleMoveTimeGoal,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2022-09-13,313.0,300,kcal,0,0,0,0,0,0
2022-09-14,391.0,300,kcal,0,0,0,0,0,0
2022-09-15,510.0,300,kcal,0,0,0,0,0,0
2022-09-16,361.0,300,kcal,0,0,0,0,0,0
2022-09-17,362.0,300,kcal,0,0,0,0,0,0
2022-09-18,228.0,300,kcal,0,0,0,0,0,0
2022-09-19,345.0,300,kcal,0,0,0,0,0,0
2022-09-20,281.0,300,kcal,0,0,0,0,0,0
2022-09-21,391.0,300,kcal,0,0,0,0,0,0
2022-09-22,396.0,300,kcal,0,0,0,0,0,0
2022-09-23,331.0,300,kcal,0,0,0,0,0,0
2022-09-24,420.0,300,kcal,0,0,0,0,0,0
2022-09-25,384.0,300,kcal,0,0,0,0,0,0
2022-09-26,477.0,300,kcal,0,0,0,0,0,0
2022-09-27,258.0,300,kcal,0,0,0,0,0,0
2022-09-28,528.0,300,kcal,0,0,0,0,0,0
2022-09-29,291.0,300,kcal,0,0,0,0,0,0
2022-09-30,361.0,300,kcal,0,0,0,0,0,0
2022-10-01,363.0,300,kcal,0,0,0,0,0,0
2022-10-02,150.0,300,kcal,0,0,0,0,0,0
2022-10-03,345.0,300,kcal,0,0,0,0,0,0
2022-10-04,236.0,300,kcal,0,0,0,0,0,0
2022-10-05,284.0,300,kcal,0,0,0,0,0,0
2022-10-06,344.0,300,kcal,0,0,0,0,0,0
2022-10-07,336.0,300,kcal,0,0,0,0,0,0
2022-10-08,402.0,300,kcal,0,0,0,0,0,0
2022-10-09,108.0,300,kcal,0,0,0,0,0,0
2022-10-10,151.0,300,kcal,0,0,0,0,0,0
2022-10-11,249.0,300,kcal,0,0,0,0,0,0
2022-10-12,265.0,300,kcal,0,0,0,0,0,0
2022-10-13,421.0,300,kcal,0,0,0,0,0,0
2022-10-14,279.0,300,kcal,0,0,0,0,0,0
2022-10-15,184.0,300,kcal,0,0,0,0,0,0
2022-10-16,407.0,300,kcal,0,0,0,0,0,0
2022-10-17,416.0,300,kcal,0,0,0,0,0,0
2022-10-18,399.0,300,kcal,0,0,0,0,0,0
2022-10-19,443.0,300,kcal,0,0,0,0,0,0
2022-10-20,332.0,300,kcal,0,0,0,0,0,0
2022-10-21,305.0,300,kcal,0,0,0,0,0,0
2022-10-22,168.0,300,kcal,0,0,0,0,0,0
2022-10-23,85.0,300,kcal,0,0,0,0,0,0
2022-10-24,15.0,300,kcal,0,0,0,0,0,0
2022-10-25,16.0,300,kcal,0,0,0,0,0,0
2022-10-26,158.0,300,kcal,0,0,0,0,0,0
2022-10-27,117.0,300,kcal,0,0,0,0,0,0
2022-10-28,9.0,300,kcal,0,0,0,0,0,0
2022-10-29,304.0,300,kcal,0,0,0,0,0,0
